GeneID,Chr,Start,End,Strand,Length,Eagle_002_lps,Eagle_004_lps,Eagle_006_lps,Eagle_007_lps,Eagle_008_lps,Eagle_012_lps,Eagle_013_lps,Eagle_014_lps,Eagle_015_lps,Eagle_020_lps,Eagle_021_lps,Eagle_022_lps
MCTS1,NW_010972698.1,5108571,5115229,+,6659,121,413,11,478,58,76,130,123,578,38,259,406
C1GALT1C1,NW_010972698.1,5118271,5119528,-,1258,36,177,1,223,31,29,58,47,248,19,89,130
GRIA3,NW_010972698.1,5649860,5802680,+,152821,2889,65,2,94,24,14,42,18,99,3,137,54
THOC2,NW_010972698.1,5814573,5870554,-,55982,1626,10722,197,13094,1492,1089,3683,3055,10317,1274,6792,8169
XIAP,NW_010972698.1,5889321,5908979,+,19659,426,1560,20,1536,192,172,553,388,1514,170,887,1197
STAG2,NW_010972698.1,5919102,6001151,+,82050,2869,30257,526,35621,4756,3382,10762,8535,32951,3160,17184,23223
SH2D1A,NW_010972698.1,6048598,6064126,+,15529,313,703,9,458,63,65,319,35,138,52,546,133
TENM1,NW_010972698.1,6072601,6324193,-,251593,4340,104,4,156,38,21,63,32,146,10,207,89
SMARCA1,NW_010972698.1,7352056,7416151,-,64096,1543,6719,172,8415,1177,667,2109,2566,7716,735,4526,6339
GAB3,NW_010972698.1,7432400,7499271,+,66872,2024,11307,297,14046,1559,1333,4109,3718,8399,986,9090,9273
LOC104832685,NW_010972698.1,7518020,7548568,+,30549,1001,20631,333,20271,2454,1842,7065,5884,20408,1594,10306,15010
VBP1,NW_010972698.1,7552691,7567344,+,14654,322,1265,25,1456,190,190,521,391,1625,138,702,1106
RAB39B,NW_010972698.1,7565747,7574057,-,8311,153,316,7,266,51,49,175,111,334,32,257,294
LOC104832689,NW_010972698.1,7585673,7609951,-,24279,565,244,2,146,19,28,58,42,157,12,122,131
PSMD10,NW_010972698.1,7610085,7670983,-,60899,874,285,11,255,43,46,87,117,356,16,249,290
VSIG1,NW_010972698.1,7642262,7663205,+,20944,0,0,0,0,0,0,0,0,0,0,0,0
ATG4A,NW_010972698.1,7671151,7683302,+,12152,188,453,16,417,67,71,119,127,467,39,327,378
COL4A6,NW_010972698.1,7686181,7859018,-,172838,3151,71,5,115,26,13,41,28,85,11,169,69
COL4A5,NW_010972698.1,7860369,7910871,+,50503,752,82,2,65,15,6,31,42,146,8,94,111
IRS4,NW_010972698.1,7897326,7939038,-,41713,1207,12192,245,12232,2445,1406,4301,4152,13189,1182,6361,9672
LOC104832693,NW_010972698.1,7940201,7947739,+,7539,183,290,7,303,46,30,85,73,269,22,121,182
NXT2,NW_010972698.1,8008947,8013896,+,4950,115,899,11,1077,179,109,303,280,1100,89,601,945
ACSL4,NW_010972698.1,8028320,8068734,-,40415,764,1731,26,626,121,89,261,111,336,81,965,406
LOC104832697,NW_010972698.1,8079799,8083646,-,3848,60,8,0,6,1,0,2,1,2,0,9,3
TMEM164,NW_010972698.1,8095106,8136485,+,41380,691,334,3,171,18,29,76,87,419,10,259,89
AMMECR1,NW_010972698.1,8144939,8211019,-,66081,1300,4071,64,4099,409,369,1465,2140,5233,404,2731,3612
CHRDL1,NW_010972698.1,8296116,8335737,-,39622,675,103,1,80,22,11,44,65,106,6,53,82
PAK3,NW_010972698.1,8468737,8507725,+,38989,763,571,13,346,60,25,135,37,101,23,330,105
CAPN6,NW_010972698.1,8527406,8582064,-,54659,1044,24,0,23,7,3,5,11,30,1,43,16
DCX,NW_010972698.1,8615803,8690804,-,75002,1428,25,1,52,14,7,10,9,34,6,67,23
ALG13,NW_010972698.1,8749653,8779776,+,30124,535,53,0,67,2,9,13,18,27,1,48,29
TRPC5,NW_010972698.1,8793403,8859667,-,66265,1303,40,1,61,8,5,8,13,33,6,64,33
AMOT,NW_010972698.1,8974193,9022433,-,48241,1008,663,10,514,74,45,167,106,248,42,358,295
PGK1,NW_010972698.1,9038440,9052012,-,13573,359,4091,64,1339,102,127,290,176,413,84,1566,906
ATP7A,NW_010972698.1,9064844,9092293,-,27450,552,1957,21,1799,187,196,483,388,1541,98,1173,1244
LOC104832708,NW_010972698.1,9093269,9095676,-,2408,70,477,12,513,65,101,150,116,515,34,241,375
MAGT1,NW_010972698.1,9095748,9109757,+,14010,222,1139,29,1360,155,144,365,348,1153,85,682,957
TRNAL-CAA,NW_010972698.1,9095925,9096040,+,116,0,0,0,0,0,0,0,0,0,0,0,0
ATRX,NW_010972698.1,9114749,9204008,+,89260,2882,16963,304,18945,2450,1796,6180,4556,17094,1637,9070,12434
FGF16,NW_010972698.1,9210699,9222487,-,11789,267,5,0,12,1,1,1,2,12,1,10,6
ZDHHC15,NW_010972698.1,9428605,9455615,+,27011,578,1289,25,1625,212,122,347,430,1044,174,993,1379
LOC104832786,NW_010972698.1,9464171,9495590,-,31420,487,459,8,477,53,34,143,66,234,38,264,308
ABCB7,NW_010972698.1,9503770,9536654,+,32885,693,8439,123,7807,956,763,3295,2669,8549,947,5554,5718
KIAA2022,NW_010972698.1,9713245,9722652,+,9408,197,14,3,11,2,1,12,2,32,6,15,14
LOC104832787,NW_010972698.1,9743739,9748837,+,5099,95,15,0,13,0,2,4,2,8,1,5,4
RLIM,NW_010972698.1,9755205,9770905,+,15701,411,1940,23,1735,294,298,709,564,2295,183,1439,1561
SLC16A2,NW_010972698.1,9787262,9821502,-,34241,892,6,0,21,4,1,8,7,13,2,59,16
LOC104832789,NW_010972698.1,9839394,9844166,+,4773,136,1,0,1,0,1,1,0,1,0,13,2
LOC104832790,NW_010972698.1,9860492,9863011,-,2520,73,1,0,1,0,1,1,0,4,0,1,1
LOC104832718,NW_010972698.1,9882076,9913016,-,30941,611,3193,38,2688,365,291,785,766,2779,233,1860,2022
LOC104832719,NW_010972698.1,9918979,9928092,+,9114,191,14,2,4,2,1,4,1,5,0,4,4
LOC104832720,NW_010972698.1,9979045,9996238,+,17194,352,66,3,45,13,9,24,14,87,5,52,45
LOC104832791,NW_010972698.1,10002563,10030692,-,28130,584,1096,32,1133,169,154,392,411,1354,99,765,1072
CHIC1,NW_010972698.1,10035012,10057326,-,22315,444,1197,17,1324,164,141,419,417,1415,123,807,1255
LOC104832723,NW_010972698.1,10069853,10078478,-,8626,118,5,1,8,2,2,1,4,8,0,4,2
LOC104832793,NW_010972698.1,10087761,10102447,-,14687,251,12,0,14,1,3,4,4,8,1,13,4
LOC104832724,NW_010972698.1,10163384,10298649,-,135266,2628,100,1,110,28,19,42,11,86,16,133,60
ARHGEF9,NW_010972698.1,10358646,10410156,-,51511,1167,596,9,336,54,70,86,14,41,25,455,109
AMER1,NW_010972698.1,10605074,10612984,-,7911,214,306,11,715,71,28,577,121,314,93,328,230
ASB12,NW_010972698.1,10617175,10619140,-,1966,46,17,0,36,6,3,30,7,22,9,13,11
MTMR8,NW_010972698.1,10622535,10653570,-,31036,761,4927,88,7994,764,545,2317,1566,4985,657,2932,4081
LOC104832729,NW_010972698.1,10681456,10683031,+,1576,43,0,0,1,0,0,1,2,3,0,1,1
LOC104832794,NW_010972698.1,10719738,10825503,+,105766,2025,191,2,156,21,20,74,42,108,19,178,119
LOC104832730,NW_010972698.1,10825608,10835662,+,10055,299,1121,20,1435,179,215,456,438,1550,122,882,1147
TRNAE-UUC_1,NW_010972698.1,10838928,10838999,-,72,8,0,0,4,1,0,0,1,4,0,2,1
RRAGB,NW_010972698.1,10839420,10855513,+,16094,433,1337,22,1436,238,209,463,401,1512,121,861,1110
KLF8,NW_010972698.1,10868129,10905252,+,37124,981,51,1,75,13,13,25,23,77,10,86,52
LOC104832733,NW_010972698.1,10998836,11002097,-,3262,94,122,2,65,23,14,41,2,6,5,98,37
LOC104832734,NW_010972698.1,11030032,11058472,+,28441,667,382,4,341,73,22,206,15,43,35,526,74
LOC104832735,NW_010972698.1,11066875,11072981,-,6107,117,3,0,4,0,1,1,0,6,0,5,0
LOC104832796,NW_010972698.1,11097764,11107446,-,9683,195,9,0,6,0,1,2,1,6,0,8,7
LOC104832736,NW_010972698.1,11109743,11114101,+,4359,97,3,0,6,1,1,0,0,3,0,9,2
LOC104832797,NW_010972698.1,11116785,11120447,-,3663,105,13,0,2,1,0,0,1,3,0,4,10
LOC104832737,NW_010972698.1,11121038,11125785,-,4748,92,107,4,122,28,17,54,49,141,9,84,147
NSDHL,NW_010972698.1,11128165,11138382,+,10218,165,23,1,16,4,7,6,4,19,0,22,17
ZNF185,NW_010972698.1,11170885,11198315,+,27431,619,11,0,23,11,0,5,0,23,2,28,10
LOC104832743,NW_010972698.1,11204590,11227820,+,23231,415,465,6,314,58,36,147,48,128,23,352,157
VAMP7,NW_010972698.1,11231016,11252359,-,21344,513,1581,32,1957,242,153,714,549,1700,168,833,1252
LOC104832744,NW_010972698.1,11252502,11262038,+,9537,280,511,11,716,98,63,179,172,563,55,292,551
LOC104832745,NW_010972698.1,11266651,11274726,-,8076,211,229,4,182,34,29,59,48,210,18,130,112
POU4F3,NW_010972698.1,11375476,11377173,-,1698,52,0,0,0,1,0,1,0,0,0,4,2
SPRY3,NW_010972698.1,11450297,11456649,-,6353,156,32,0,19,4,6,10,4,9,8,53,8
TMLHE,NW_010972698.1,11472893,11491934,+,19042,1413,21808,506,34656,4072,3385,8061,9282,31131,2773,16069,22468
LOC104832750,NW_010972698.1,11529250,11549545,+,20296,1517,30598,574,36605,4358,3853,12786,9572,27210,3347,20909,21652
LOC104832798,NW_010972698.1,11552252,11561123,-,8872,234,330,4,339,86,62,246,130,654,44,327,214
LOC104832752,NW_010972698.1,11572302,11578898,+,6597,171,13,1,110,7,13,15,20,75,7,49,55
CLCN5,NW_010972698.1,11588193,11614478,-,26286,679,2125,49,2089,380,286,709,706,2168,191,1183,2030
LOC104832754,NW_010972698.1,11635399,11642153,-,6755,181,168,4,193,57,31,94,51,174,32,155,108
RGCC,NW_010972698.1,11642154,11646932,-,4779,272,1589,37,1919,333,229,518,316,1300,197,870,1237
ARHGAP36,NW_010972698.1,11657082,11672940,-,15859,481,2300,42,1756,337,376,612,379,712,153,1972,816
ENOX2,NW_010972698.1,11679534,11734344,-,54811,1469,2591,47,3084,278,361,940,918,2953,316,1937,2329
GPR119,NW_010972698.1,11736510,11738197,-,1688,41,11,0,13,5,4,13,1,35,3,15,13
SLC25A14,NW_010972698.1,11743301,11751538,-,8238,276,801,18,1356,190,152,397,338,1072,110,620,1021
RBMX2,NW_010972698.1,11752056,11755679,-,3624,152,251,12,242,54,52,92,78,315,32,197,284
RAB33A,NW_010972698.1,11755796,11759877,-,4082,133,24,2,18,2,4,6,11,61,5,14,15
MARS2,NW_010972698.1,11761598,11767366,-,5769,170,671,20,891,111,127,290,276,886,108,519,687
AIFM1,NW_010972698.1,11766342,11785063,+,18722,481,1461,21,1673,190,172,552,392,1660,139,825,1418
LOC104832811,NW_010972699.1,3615,27199,-,23585,215,2002,30,1963,267,86,616,233,809,138,560,633
LOC104832800,NW_010972699.1,27469,46162,-,18694,205,227,1,98,12,5,26,14,36,11,49,25
TMEM175,NW_010972699.1,51681,64642,+,12962,135,345,7,181,18,9,42,12,15,17,206,16
ATP5I,NW_010972699.1,69767,72696,+,2930,59,565,10,728,102,35,265,94,347,70,181,245
PDE6B,NW_010972699.1,82156,103194,-,21039,233,70,0,43,11,0,36,7,45,8,29,21
LOC104832806,NW_010972699.1,116843,123925,+,7083,97,19,0,23,4,2,7,3,7,3,10,3
IDUA,NW_010972699.1,129901,174123,-,44223,369,681,8,537,69,22,208,49,132,36,138,152
SLC26A1,NW_010972699.1,160668,164176,+,3509,0,0,0,0,0,0,0,0,0,0,0,0
CHRNA6,NW_010972699.1,200605,209939,+,9335,73,2,0,8,3,0,2,3,1,0,7,1
CHRNB3,NW_010972699.1,216041,228067,-,12027,139,9,1,5,1,1,5,2,11,0,12,5
THAP1,NW_010972699.1,247140,252937,-,5798,87,762,19,825,150,80,221,200,639,64,287,518
RNF170,NW_010972699.1,284701,308460,-,23760,203,860,10,821,89,44,308,187,516,89,283,347
LOC104832814,NW_010972700.1,5680,6721,+,1042,36,61,2,53,23,22,22,23,64,7,67,60
TMEM140,NW_010972700.1,6821,12663,-,5843,288,1750,28,1559,326,261,524,440,1272,139,984,1225
AGBL3,NW_010972700.1,16182,40621,-,24440,462,291,2,181,40,21,64,15,34,11,172,68
PDE6H,NW_010972700.1,62884,69433,-,6550,147,1,0,7,1,0,3,0,4,0,6,3
ARHGDIB,NW_010972700.1,82940,89018,+,6079,211,880,28,392,64,61,174,36,68,30,454,163
ERP27,NW_010972700.1,89730,107563,+,17834,410,40,1,31,6,3,10,3,14,3,29,11
MGP,NW_010972700.1,126369,132265,+,5897,174,8,0,11,1,0,2,1,3,1,12,5
LOC104832822,NW_010972700.1,134994,140631,+,5638,126,9,0,15,1,3,5,4,11,1,9,2
ART4,NW_010972700.1,143931,147938,+,4008,219,2093,58,3698,430,323,668,915,2860,288,1281,2150
SMCO3,NW_010972700.1,149364,157401,+,8038,446,4660,120,6558,963,684,1411,1757,6301,532,2672,4182
WBP11,NW_010972700.1,160803,172439,+,11637,419,1783,46,2513,294,222,727,629,1903,165,1023,1680
LOC104832828,NW_010972700.1,174819,175268,+,450,14,50,2,42,9,0,24,4,11,5,21,18
LOC104832829,NW_010972700.1,177240,177970,+,731,28,81,0,71,11,4,57,7,19,3,72,30
LOC104832830,NW_010972700.1,179174,179769,-,596,18,92,0,90,13,9,21,26,70,2,32,66
LOC104832831,NW_010972700.1,184527,184855,+,329,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832832,NW_010972700.1,186980,187457,+,478,27,11,0,12,2,1,11,2,1,1,8,5
LOC104832833,NW_010972700.1,188387,188736,-,350,16,14,0,17,4,2,6,0,3,1,13,2
LOC104832835,NW_010972700.1,199627,200088,-,462,7,11,1,20,4,1,11,3,8,0,14,9
LOC104832840,NW_010972700.1,200390,200909,+,520,19,41,4,60,7,4,27,9,31,2,24,27
LOC104832839,NW_010972700.1,202075,202614,+,540,11,41,0,28,11,3,17,6,13,4,14,20
LOC104832838,NW_010972700.1,212744,213207,+,464,17,105,2,97,12,8,44,12,23,12,69,63
LOC104832836,NW_010972700.1,213435,221541,+,8107,92,156,3,187,9,8,29,9,33,12,87,62
LOC104832837,NW_010972700.1,217416,220583,-,3168,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832841,NW_010972700.1,222597,223868,-,1272,34,90,2,39,10,7,33,7,20,3,61,26
LOC104832845,NW_010972700.1,236599,257500,+,20902,385,314,2,151,26,21,63,23,98,13,139,103
LOC104832843,NW_010972700.1,241989,242488,-,500,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832842,NW_010972700.1,243693,244504,-,812,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832851,NW_010972700.1,250536,251845,-,1310,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832846,NW_010972700.1,257814,258290,-,477,15,4,0,8,1,0,2,0,4,0,4,0
LOC104832852,NW_010972700.1,259676,261134,+,1459,9,0,0,3,0,3,3,0,0,0,2,1
LOC104832848,NW_010972700.1,269309,271679,+,2371,68,658,15,394,68,25,174,85,390,35,227,380
LOC104832847,NW_010972700.1,271255,272433,-,1179,14,96,2,50,15,3,28,11,41,6,40,37
LOC104832849,NW_010972700.1,272755,273353,+,599,27,281,7,156,17,13,70,25,74,18,74,88
LOC104832853,NW_010972700.1,281400,281770,-,371,13,152,2,68,5,5,16,24,49,4,56,62
LOC104832850,NW_010972700.1,282921,283422,-,502,13,1,0,1,0,0,1,0,0,0,3,1
LOC104832855,NW_010972700.1,294282,295264,+,983,32,149,5,97,21,25,69,35,142,14,65,122
LOC104832856,NW_010972700.1,295670,295943,-,274,24,151,2,127,16,9,46,25,68,6,60,82
SHISA5,NW_010972701.1,3032,25353,+,22322,470,2721,41,1168,106,101,297,209,432,91,1234,728
ATRIP,NW_010972701.1,28228,42461,-,14234,287,2118,37,1884,195,175,445,421,1342,114,860,1479
LOC104832859,NW_010972701.1,43941,48550,+,4610,85,101,0,86,7,6,34,31,67,7,39,56
IPPK,NW_010972701.1,68459,100028,+,31570,428,268,3,217,31,24,63,70,189,26,228,176
CENPP,NW_010972701.1,89538,255012,-,165475,1828,3362,55,4014,498,281,892,913,2914,371,1863,2237
ECM2,NW_010972701.1,133899,153539,+,19641,0,0,0,0,0,0,0,0,0,0,0,0
ASPN,NW_010972701.1,174870,185413,+,10544,0,0,0,0,0,0,0,0,0,0,0,0
OMD,NW_010972701.1,207460,209583,+,2124,0,0,0,0,0,0,0,0,0,0,0,0
OGN,NW_010972701.1,221199,231168,+,9970,0,0,0,0,0,0,0,0,0,0,0,0
NOL8,NW_010972701.1,255143,270715,+,15573,323,863,17,1238,150,131,335,368,1078,94,711,869
7-Mar,NW_010972702.1,40827,69633,-,28807,911,10640,193,12218,1729,1122,3791,3055,11272,1056,6864,8376
BAZ2B,NW_010972702.1,184511,271368,+,86858,1504,3213,38,2231,374,195,961,428,1077,246,2003,1404
LOC104832872,NW_010972703.1,580,13004,-,12425,270,256,1,136,75,30,124,48,146,31,307,86
LOC104832871,NW_010972703.1,10606,13829,+,3224,16,124,0,104,34,9,58,15,77,12,116,37
LOC104832873,NW_010972703.1,14854,19528,-,4675,662,17114,347,15081,3104,2399,6380,5395,19023,1265,10852,14835
LOC104832874,NW_010972703.1,25200,28705,+,3506,89,49,0,39,6,11,18,11,30,6,84,23
KLRF1,NW_010972703.1,30022,32769,+,2748,84,34,0,16,7,7,4,9,20,4,64,15
LOC104832875,NW_010972703.1,33085,41538,-,8454,229,369,4,285,50,60,128,122,383,38,358,303
LOC104832877,NW_010972703.1,43725,45516,+,1792,53,8,0,4,4,1,2,1,3,0,12,3
KLRB1,NW_010972703.1,49836,51832,+,1997,78,36,0,32,4,7,10,10,60,1,25,28
LOC104832879,NW_010972703.1,53777,62413,+,8637,282,638,22,830,131,130,288,286,995,64,513,704
LOC104832887,NW_010972703.1,63915,71678,-,7764,657,6693,169,8141,1319,1066,2909,3007,9757,743,4703,7956
ZNF473,NW_010972703.1,76391,233869,+,157479,2419,4026,86,4349,666,448,1181,1244,3897,389,2842,3291
TRNAL-CAA_1,NW_010972703.1,90020,90127,+,108,0,0,0,0,0,0,0,0,0,0,0,0
IL4I1,NW_010972703.1,97697,102877,+,5181,0,0,0,0,0,0,0,0,0,0,0,0
TRNAN-GUU_5,NW_010972703.1,104992,105065,-,74,0,0,0,0,0,0,0,0,0,0,0,0
TRNAP-UGG,NW_010972703.1,105851,105922,-,72,0,0,0,0,0,0,0,0,0,0,0,0
TRNAT-UGU,NW_010972703.1,106471,106543,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAL-AAG,NW_010972703.1,107325,107406,+,82,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-AAC,NW_010972703.1,107729,107801,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAP-UGG_1,NW_010972703.1,109180,109251,-,72,0,0,0,0,0,0,0,0,0,0,0,0
TRNAT-UGU_1,NW_010972703.1,109424,109496,-,73,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832886,NW_010972703.1,112435,124836,-,12402,0,0,0,0,0,0,0,0,0,0,0,0
TRNAK-CUU,NW_010972703.1,128833,128905,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAK-CUU_1,NW_010972703.1,131253,131325,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAE-CUC_3,NW_010972703.1,131640,131711,-,72,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-AAC_1,NW_010972703.1,133836,133908,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-CAC_1,NW_010972703.1,134453,134525,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-AAC_2,NW_010972703.1,135251,135323,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAE-UUC_2,NW_010972703.1,135602,135673,-,72,0,0,0,0,0,0,0,0,0,0,0,0
TRNAE-UUC_3,NW_010972703.1,135884,135955,+,72,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-CAC_2,NW_010972703.1,136467,136539,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAK-CUU_2,NW_010972703.1,136931,137003,+,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAL-CAA_2,NW_010972703.1,137168,137275,+,108,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-CAC_3,NW_010972703.1,137662,137734,+,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAE-CUC_4,NW_010972703.1,138147,138218,-,72,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832890,NW_010972703.1,140101,145320,-,5220,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832885,NW_010972703.1,149922,153560,+,3639,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832891,NW_010972703.1,154753,167025,-,12273,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832884,NW_010972703.1,168527,173378,-,4852,0,0,0,0,0,0,0,0,0,0,0,0
TRNAK-CUU_3,NW_010972703.1,184067,184139,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAV-CAC_4,NW_010972703.1,184413,184485,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRNAK-CUU_4,NW_010972703.1,184670,184742,-,73,0,0,0,0,0,0,0,0,0,0,0,0
TRIM41,NW_010972703.1,185446,192348,+,6903,0,0,0,0,0,0,0,0,0,0,0,0
GNB2L1,NW_010972703.1,193958,197977,-,4020,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832880,NW_010972703.1,214908,217730,+,2823,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832894,NW_010972703.1,235205,251737,-,16533,383,80,1,84,7,7,27,13,16,4,94,34
TRNAL-AAG_1,NW_010972703.1,243858,243939,-,82,0,0,0,0,0,0,0,0,0,0,0,0
LOC104832895,NW_010972703.1,263753,270593,+,6841,189,74,1,71,11,2,36,4,15,9,100,11
LOC104832900,NW_010972704.1,28334,53368,-,25035,609,10,1,20,5,1,3,5,7,1,42,10
LOC104832901,NW_010972704.1,53841,83160,-,29320,738,6,0,21,1,3,7,0,23,1,26,6
NDUFA10,NW_010972704.1,95094,137122,+,42029,948,3637,58,4029,480,367,1138,1086,3634,287,1981,2687
UBAP2,NW_010972705.1,2724,81222,-,78499,1601,25871,394,28809,3569,1547,9134,4390,15569,2827,8721,11993
DCAF12,NW_010972705.1,106315,133432,-,27118,325,2981,49,3067,405,194,1068,497,1767,242,844,1155
UBAP1,NW_010972705.1,135013,177301,+,42289,662,8821,168,10544,1353,516,3245,1201,4374,945,2245,3493
KIF24,NW_010972705.1,189659,213544,-,23886,287,725,6,588,94,51,277,96,327,77,224,212
NUDT2,NW_010972705.1,220010,225816,+,5807,66,118,4,175,28,11,46,28,107,10,48,50
LOC104832908,NW_010972705.1,253872,255776,+,1905,16,1,0,2,0,0,0,0,0,0,0,0
LOC104832909,NW_010972706.1,141572,143010,-,1439,1210,188,1,116,15,37,97,72,299,7,295,227
LOC104832910,NW_010972706.1,143218,145486,-,2269,585,40,1,29,9,26,16,32,121,3,119,100
TRNAR-CCG,NW_010972707.1,1972,2044,+,73,1,0,0,1,0,0,0,0,0,0,1,0
VPS28,NW_010972707.1,3101,8419,+,5319,190,1033,18,1758,295,211,580,449,1388,119,775,1132
TONSL,NW_010972707.1,8545,19171,-,10627,206,118,1,146,54,30,80,70,201,21,120,150
CYHR1,NW_010972707.1,19357,34378,-,15022,219,678,26,1124,213,153,380,303,1028,127,450,846
PPP1R16A,NW_010972707.1,41679,45552,+,3874,106,27,2,25,16,9,20,9,27,2,12,14
LOC104832919,NW_010972707.1,53272,57976,+,4705,35,9,0,7,0,0,0,1,2,0,9,3
GPT,NW_010972707.1,58551,70703,-,12153,116,0,0,1,3,0,0,1,2,0,10,1
RECQL4,NW_010972707.1,70718,81839,-,11122,264,31,0,40,7,5,5,11,40,10,35,36
LRRC14,NW_010972707.1,81829,84311,+,2483,69,39,0,79,22,11,28,23,67,7,50,66
LOC104832922,NW_010972707.1,84405,87720,-,3316,49,42,3,64,20,7,14,25,74,14,33,60
ARHGAP39,NW_010972707.1,90909,150755,-,59847,1586,221,5,191,45,26,66,52,192,37,209,169
LOC104832913,NW_010972707.1,243822,244118,-,297,212,3,0,10,3,0,1,0,3,0,15,3
LOC104832914,NW_010972707.1,248761,249072,-,312,131,1,0,5,1,1,0,0,3,0,5,0
LOC104832925,NW_010972708.1,155587,158568,+,2982,540,4,0,1525,17,33,2,44,110,0,180,133
LOC104832926,NW_010972709.1,404,5559,-,5156,1349,581,10,583,120,73,191,191,595,55,441,555
LOC104832927,NW_010972709.1,20045,33786,+,13742,235,179,3,98,24,11,39,29,106,11,118,83
LOC104833143,NW_010972709.1,37361,53108,+,15748,305,262,1,151,46,26,64,51,138,16,188,102
LOC104833144,NW_010972709.1,55651,72715,+,17065,311,334,5,243,47,20,88,49,175,26,277,133
EPB42,NW_010972709.1,82920,93234,+,10315,1039,20334,369,20615,3083,2005,6763,6801,20500,1857,10136,16015
CCNDBP1,NW_010972709.1,93519,99945,-,6427,236,1812,24,2334,269,177,523,508,1722,141,1139,1526
ZNFX1,NW_010972709.1,100878,113974,-,13097,610,6616,71,4935,2211,545,1463,1394,5026,564,5181,2931
DDX27,NW_010972709.1,114140,120517,+,6378,346,2041,45,2418,515,308,623,696,2394,193,1395,1822
SNRPB,NW_010972709.1,121580,124727,-,3148,126,405,7,475,89,64,137,137,457,39,318,357
ELMO2,NW_010972709.1,125070,149563,+,24494,517,2402,19,1872,412,165,600,447,1500,181,1537,1248
SLC35C2,NW_010972709.1,150188,154634,+,4447,143,501,12,571,117,56,164,145,367,44,343,433
LOC104832935,NW_010972709.1,175482,184022,+,8541,242,35,1,34,5,3,10,2,29,5,61,19
CDH22,NW_010972709.1,219750,277111,+,57362,1511,36,0,41,15,2,14,13,39,4,121,25
CD40,NW_010972709.1,318558,322564,-,4007,119,31,1,23,16,9,18,6,5,9,64,9
NCOA5,NW_010972709.1,328079,345188,+,17110,383,1239,15,1376,220,168,438,404,1405,103,915,1147
SLC12A5,NW_010972709.1,350795,367666,-,16872,463,63,2,34,3,3,5,2,14,3,51,21
MMP9,NW_010972709.1,381028,385643,-,4616,127,633,20,248,23,20,53,31,29,13,251,218
ZNF335,NW_010972709.1,397434,408296,+,10863,665,2808,73,4421,806,631,1646,1263,4967,451,2359,3199
LOC104833150,NW_010972709.1,407510,411298,+,3789,53,0,0,0,0,1,2,0,2,0,9,2
LOC104833151,NW_010972709.1,413045,413770,-,726,9,0,0,0,0,0,0,0,0,0,1,1
PCIF1,NW_010972709.1,417794,430662,-,12869,427,1993,46,2802,386,372,716,744,2487,244,1298,1807
PLTP,NW_010972709.1,433237,437895,+,4659,157,46,1,86,12,10,33,18,69,2,51,47
CTSA,NW_010972709.1,438411,445520,-,7110,156,536,8,321,60,55,122,71,220,26,266,211
NEURL2,NW_010972709.1,443647,446801,+,3155,31,0,0,2,0,0,1,0,6,0,4,10
ZSWIM1,NW_010972709.1,449088,451222,-,2135,63,42,2,58,9,6,45,12,59,1,62,52
ZSWIM3,NW_010972709.1,451295,454637,-,3343,72,34,1,43,7,3,15,8,30,1,33,45
ACOT8,NW_010972709.1,455033,456854,+,1822,61,59,3,79,23,13,18,20,77,8,47,65
SNX21,NW_010972709.1,457909,459483,-,1575,23,1,0,4,0,0,3,0,1,0,3,1
TNNC2,NW_010972709.1,461481,462744,+,1264,34,3,0,2,0,1,4,0,3,1,5,1
LOC104833156,NW_010972709.1,463780,464502,+,723,9,0,0,2,0,0,0,0,1,0,2,0
UBE2C,NW_010972709.1,464969,467285,-,2317,26,14,0,17,4,1,6,3,13,1,15,14
